Judul,Waktu,Link,Content,tag1,tag2,tag3,tag4,tag5,source,Kategori
"Viral Isu PHK Buruh Gudang Garam, Said Iqbal: Suplier hingga Pemilik Kontrakan Juga Akan Terdampak",6 September 2025,https://nasional.kompas.com/read/2025/09/06/14232881/viral-isu-phk-buruh-gudang-garam-said-iqbal-suplier-hingga-pemilik-kontrakan," JAKARTA, KOMPAS.com – Presiden Konfederasi Serikat Pekerja Indonesia (KSPI) Said Iqbal mengatakan, kabar pemutusan hubungan kerja (PHK) buruh pabrik rokok PT Gudang Garam bisa berdampak luas. Tidak hanya buruh pabrik, pekerja di sektor lain yang menggantungkan hidup pada industri rokok juga bisa terdampak. “Ribuan buruh rokok PT Gudang Garam ter-PHK, dan puluhan ribu buruh lainnya juga akan ter-PHK seperti buruh tembakau, logistik, sopir, pedagang kecil, suplier, pemilik kontrakan, dan lain-lain. Bisa jadi ratusan ribu buruh berpotensi kehilangan pekerjaan,” kata Said kepada Kompas.com, Sabtu (6/9/2025). Said Iqbal mengaku baru mendengar kabar PHK itu dan baru akan mengecek kebenarannya. Jika benar, KSPI meminta pemerintah pusat maupun daerah segera turun tangan untuk menyelamatkan industri rokok nasional dan melindungi para pekerja yang terancam kehilangan pekerjaan. “Tapi jangan seperti kasus PHK Sritex yang hanya janji manis, THR saja tidak dibayar,” kata dia. Media sosial sebelumnya diramaikan kabar PHK massal terhadap buruh pabrik rokok PT Gudang Garam di Tuban, Jawa Timur. Video pendek yang memperlihatkan suasana perpisahan para pekerja terdampak PHK menyebar luas dan memicu gelombang keprihatinan publik. Dalam rekaman itu, tampak puluhan karyawan saling berjabat tangan dengan suasana haru dan penuh kesedihan. Hingga Sabtu (6/9/2025), pihak PT Gudang Garam Tbk (GGRM) belum memberikan pernyataan resmi terkait kabar PHK massal ini. Sementara itu, perusahaan rokok mitra produksi PT Gudang Garam di Kabupaten Tuban, Jawa Timur, membantah terkait kabar pemutusan hubungan kerja (PHK) massal yang beredar di media sosial. Human Resources Development (HRD) PT Merdeka Nusantara Mitra Produksi Gudang Garam Tuban, Adib Musyafa mengatakan, kabar PHK massal karyawan Gudang Garam tersebut tidak terjadi di pabrik Tuban. ""Sampai dengan saat ini, di Pabrik Tuban tidak ada PHK atau sejenisnya,"" kata Adib Musyafa, dikonfirmasi Kompas.com, Sabtu (6/9/2025). Adib Musyafa menyebutkan, produksi di pabrik Tuban saat ini juga masih terus berjalan normal dan sekitar 800 karyawan pabrik juga masih tetap bekerja seperti biasa. Pihaknya juga mengaku kaget mengetahui adanya pemberitaan PHK karyawan Gudang Garam di Tuban yang bersumber dari instagram atau media sosial.",Said Iqbal,industri rokok,PT Gudang Garam,PHK massal,phk massal 2025 terbaru,kompas,Politik
"Gempa M 5,3 Guncang Pulau Doi Maluku Utara","Senin, 12 Agu 2024 21:58 WIB",https://news.detik.com/berita/d-7486691/gempa-m-5-3-guncang-pulau-doi-maluku-utara,"Gempa bumi berkekuatan magnitudo (M) 5,3 mengguncang Kabupaten Pulau Doi, Maluku Utara. Gempa berada pada kedalaman 10 km. Informasi gempa ini disampaikan BMKG, dalam akun X resminya, Senin (12/7/2024). Disebutkan bahwa gempa terjadi pada pukul 18.36 WIB. ""Pusat gempa berada di laut, 125 km barat laut Pulau Doi,"" tulis BMKG.  Titik gempa berada di koordinat 2,38 lintang utara dan 126,65 bujur timur. BMKG mengatakan informasi gempa yang diberikan mengutamakan kecepatan sehingga dapat terjadi perubahan data. Gempa dirasakan dengan skala Modified Mercalli Intensity (MMI) II-III di Tagulandang. Skala II artinya getaran dirasakan oleh beberapa orang, benda-benda ringan yang digantung bergoyang. Sementara skala III artinya getaran dirasakan nyata dalam rumah. Terasa getaran seakan-akan ada truk berlalu.",pulau doi,gempa,,,,detik,Lingkungan
"Toko Emas Palsu di Riau Dibongkar Polisi, Perhiasan 1,8 Kg Disita","Rabu, 30 Jul 2025 22:22 WIB",https://news.detik.com/melindungi-tuah-marwah/d-8037655/toko-emas-palsu-di-riau-dibongkar-polisi-perhiasan-1-8-kg-disita,"Satreskrim Polres Bengkalis membongkar praktik pemalsuan emas di sebuah toko di Pasar Mandau. Perhiasan emas palsu seberat 1,8 kilogram disita polisi dalam kasus tersebut. Kapolres Bengkalis AKBP Budi Setiawan mengatakan kasus ini terbongkar setelah pihaknya menerima laporan dari korban yang merasa dirugikan. Para korban membeli perhiasan dari toko tersebut sebagai investasi, namun ternyata emas itu palsu. ""Para korban umumnya adalah warga pekerja keras-petani, nelayan, dan buruh sawit. Mereka membeli emas untuk dijadikan tabungan masa depan. Tapi yang mereka terima justru emas oplosan, emas palsu,"" ujar AKBP Budi kepada wartawan, Rabu (30/7/2025).  MI, pemilik toko emas yang berlokasi di Pasar Mandau, Jalan Jenderal Sudirman, Kelurahan Duri Timur, Kecamatan Mandau, diamankan polisi menyusul adanya laporan tersebut. ""Saat ini pelaku diamankan di Mapolres Bengkalis untuk proses hukum lebih lanjut,"" imbuhnya. Polres Bengkalis awalnya menerima laporan dari korban berinisial AS (27) yang merasa dirugikan setelah membeli dua gelang emas seharga lebih dari Rp 4 juta. Setelah diperiksa di rumah, gelang tersebut menunjukkan tanda-tanda tidak sesuai standar emas, seperti tekstur lunak, warna kusam, dan tidak adanya kode emas.  Menindaklanjuti laporan tersebut, Satreskrim Polres Bekasi kemudian melakukan pengecekan ke toko emas tersebut. Dari lokasi, polisi menyita ratusan perhiasan emas palsu dengan berat total lebih dari 1,8 kilogram, cairan kimia, alat sepuh, timbangan digital, cap stempel, dan uang tunai. Sementara itu, Kasatreskrim Polres Bengkalis Iptu Yohn Mabel menyebut, pelaku mengakui telah menjual emas palsu. Modusnya adalah mencampur logam perak dan kemudian menyepuhnya agar tampak seperti emas murni, lalu dijual seolah-olah itu emas 22 karat. ""Kami temukan berbagai jenis perhiasan seperti gelang, kalung, cincin, liontin hingga anting, serta alat-alat produksi dan dokumen pendukung,"" jelasnya. Dari hasil pemeriksaan awal, pelaku mengaku melakukan penipuan itu sejak tahun 2021. Saat ini sudah ada 4 orang yang melapor menjadi korban dari pemalsuan emas yang dilakukan pelaku MI, dan diperkirakan akan terus bertambah. MI saat ini diamankan di Polres Bengkalis. Dia dijerat dengan pasal 263 dan/atau pasal 378 KUHP tentang pemalsuan dan penipuan, dengan ancaman pidana maksimal enam tahun penjara.   Simak juga Video: Momen Penangkapan WNA China Penjual Emas Palsu di Bandar Lampung  [Gambas:Video 20detik]  ",pemalsuan emas,emas palsu,polres bengkalis,polda riau,melindungi tuah marwah,detik,Hukum & Kriminal
"Minyakita Tak Sesuai Ukuran juga Ditemukan di Kudus, Disita Polda Jateng","Senin, 10 Mar 2025 23:15 WIB",https://news.detik.com/berita/d-7816829/minyakita-tak-sesuai-ukuran-juga-ditemukan-di-kudus-disita-polda-jateng,"Polisi mendatangi salah satu gudang Minyakita yang disunat isi kemasannya di Kabupaten Kudus, Jawa Tengah. Gudang itu terlihat tertutup rapat. Dilansir detikJateng, Kasat Reskrim Polres Kudus AKP Danail Arifin mengatakan pihaknya memang menindaklanjuti temuan dari Menteri Pertanian (Mentan) Andi Amran Sulaiman. Danail mengatakan pihaknya juga mengecek pasar-pasar untuk memastikan kecurangan produk minyak goreng itu tidak ada. ""Kami dari Satreskrim Polres Kudus menindaklanjuti hal tersebut dengan memerintahkan seluruh jajaran polsek se-Polres Kudus untuk melakukan pengecekan langsung di lapangan, di pasar-pasar maupun di toko-toko yang menjual minyak goreng merek Minyakita,"" kata Danail kepada wartawan di Polres Kudus, Senin (103/2025) siang.  ""Kita akan telusuri di wilayah Kabupaten Kudus apakah beredar barang tersebut atau tidak ada di wilayah Kabupaten Kudus untuk memastikan masyarakat sebagai konsumen ini mendapatkan barang yang sesuai aturan berlaku,"" tambahnya. Sebelumnya, Direktur Tindak Pidana Ekonomi Khusus (Dirtipideksus) Bareskrim Polri Brigjen Helfi Assegaf mengatakan pihaknya telah menyita barang bukti terkait temuan ini. Diketahui temuan ini terungkap saat Andi Amran melakukan inspeksi mendadak ke Pasar Jaya Lenteng Agung, Jakarta Selatan. ""Atas temuan dugaan ketidaksesuaian antara label kemasan dan isi tersebut telah dilakukan langkah-langkah berupa penyitaan barang bukti, proses penyelidikan dan penyidikan lebih lanjut,"" ujar Helfi kepada wartawan, Minggu (9/3). Helfi menyebut ada tiga produsen Minyakita yang melakukan kecurangan yaitu PT Artha Eka Global Asia, Depok; Koperasi Produsen UMKM Kelompok Terpadu Nusantara, Kudus dan PT Tunas Agro Indolestari, Tangerang. Baca selengkapnya di sini.  Simak Video 'Heboh Kasus MinyaKita di Subang, Dijual 1 Liter Ternyata Cuma 760 Ml': [Gambas:Video 20detik] ",minyakita,kudus,,,,detik,Hukum & Kriminal
"Pimpin LDP, Sanae Takaichi Calon Kuat PM Perempuan Pertama Jepang",4 Oktober 2025 | 14.00 WIB,https://www.tempo.co/internasional/pimpin-ldp-sanae-takaichi-calon-kuat-pm-perempuan-pertama-jepang-2076205,"Baca berita dengan sedikit iklan,  klik di sini  Mantan Menteri Keamanan Ekonom, Sanae Takaichi pada Sabtu 4 Oktober 2025 terpilih sebagai ketua perempuan pertama Partai Demokrat Liberal (LDP) — dan hampir pasti akan menjadi perdana menteri perempuan pertama Jepang — setelah mengalahkan Menteri Pertanian Shinjiro Koizumi dalam putaran kedua.  Baca berita dengan sedikit iklan,  klik di sini  Seperti dilansir The Japan Times, Takaichi memperoleh 185 suara, sementara Koizumi hanya memperoleh 156 suara dalam putaran kedua. Ini setelah tidak satu pun dari lima kandidat dalam perebutan kepemimpinan partai LDP memperoleh mayoritas di putaran pertama pemungutan suara.  Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  Pada putaran pertama pemilihan, Takaichi berada di posisi pertama dengan total 183 suara — 64 dari anggota parlemen partai dan 119 suara dari anggota biasa — diikuti oleh Koizumi yang memperoleh 164 suara — 80 dari anggota parlemen partai dan 84 dari anggota biasa. Kepala Sekretaris Kabinet Yoshimasa Hayashi, berada di posisi ketiga dengan total 134 suara, diikuti oleh mantan Menteri Keamanan Ekonomi Takayuki Kobayashi (59 suara) dan mantan Sekretaris Jenderal LDP Toshimitsu Motegi (49 suara). Hayashi memperoleh 72 suara dari anggota parlemen, dibandingkan dengan 44 suara untuk Kobayashi dan 34 suara untuk Motegi. Para kandidat bersaing untuk mendapatkan total 590 suara. Anggota parlemen dari partai petahana masing-masing memiliki satu suara, dengan total 295 suara. Suara dari sekitar 916.000 anggota biasa dialokasikan secara proporsional untuk 295 suara. Koizumi dan Takaichi bersaing memperebutkan 295 suara parlemen dan 47 suara cabang prefektur dalam putaran kedua. Tidak seperti pemilihan tahun lalu, kebijakan kelima kandidat kali ini lebih sulit dibedakan. Mereka semua menghindari topik kontroversial untuk menghindari kehilangan suara dari anggota parlemen partai, yang dukungannya akan membuat perbedaan besar dalam putaran kedua. Memberikan ruang bagi negosiasi kebijakan dengan partai-partai oposisi untuk kemungkinan perluasan koalisi yang berkuasa juga dipandang sebagai faktor lain yang menyebabkan kurangnya perbedaan dalam platform para kandidat. Sidang luar biasa Diet—sebutan resmi parlemen Jepang—untuk memilih perdana menteri diperkirakan akan diselenggarakan pada pertengahan Oktober. Meskipun koalisi LDP-Komeito tidak memiliki mayoritas di kedua majelis parlemen, pilihan mereka untuk perdana menteri diperkirakan akan terpilih, karena partai-partai oposisi tidak dapat mendukung kandidat mereka sendiri. Pilihan Editor: Sanae Takaichi Dapat Dukungan untuk Gantikan Yoshihide Suga",jepang,perdana-menteri,sanae-takaichi,perempuan,ldp,tempo,Politik
Gubernur Banten Terpilih Andra Soni Temui Presiden Prabowo di Istana,"Jumat, 13 Des 2024 22:12 WIB",https://news.detik.com/berita/d-7685816/gubernur-banten-terpilih-andra-soni-temui-presiden-prabowo-di-istana,"Presiden Prabowo Subianto bertemu dengan Gubernur Banten terpilih Andra Soni di Istana hari ini. Apa yang dibahas? Momen pertemuan diabadikan dan diunggah di akun Instagram Andra Soni, Jumat (13/12/2024). Andra mengenakan kemeja lengan panjang putih, sementara Prabowo memakai baju safari cokelat muda. Keduanya berfoto dengan latar belakang Istana Merdeka, Jakarta. Andra bersyukur mendapatkan kesempatan bertemu dengan Prabowo.  ""Alhamdulillah saya berkesempatan untuk bersilaturahmi dengan Presiden Republik Indonesia, Bapak Prabowo Subianto,"" tulis Andra dalam keterangan di unggahan tersebut. Andra mendoakan Prabowo selalu diberi kesehatan serta kesuksesan dalam memimpin negeri. ""Semoga beliau selalu diberikan kekuatan dan kesuksesan dalam memimpin negeri ini menuju Indonesia maju,"" ujarnya. Diketahui, pasangan Andra Soni-Dimyati Natakusumah mendapatkan suara terbanyak di Pilgub Banten 2024. Hasil rekapitulasi KPU Provinsi Banten, Andra-Dimyati unggul atas pasangan Airin Rachmi Diany-Ade Sumardi. Di hasil pleno rekapitulasi penghitungan suara tingkat Provinsi Banten, pasangan nomor urut 01 Airin-Ade mendapatkan jumlah total suara 2.449.183. Sedangkan pasangan nomor urut 02 Andra-Dimyati mendapatkan 3.102.501. ""Data rincian pasangan calon gubernur dan wakil gubernur nomor urut 01 Airin Rachmi Diany-Ade Sumardi jumlah akhir 2.449.183, nomor urut 02 Andra Soni-Dimyati Natakusumah akhir 3.102.501,"" kata Ketua KPU Banten M Ihsan dalam penetapan rekapitulasi tingkat provinsi di KPUD Banten, Sabtu (7/12). Adapun jumlah suara sah dan tidak sah di Pilgub Banten adalah 5.551.684. Jumlah suara tidak sah sebanyak 356.492 suara. Jumlah suara sah dan tidak sah jumlah akhir 5.908.176. Hasil rekapitulasi ini ditandatangani semua anggota KPU Provinsi Banten. Termasuk ditandatangani oleh saksi dari pasangan calon nomor urut 02. ""Saksi pasangan calon yang menandatangani nomor urut 2,"" ujarnya.  Simak juga video: KPU Tetapkan Andra Soni-Dimyati Natakusumah Menang Pilgub Banten 2024  [Gambas:Video 20detik]",prabowo subianto,andra soni,istana negara,,,detik,Politik
Yusril: Pedemo Ditangkap Polisi karena Lakukan Tindak Pidana,27 September 2025 | 08.29 WIB,https://www.tempo.co/hukum/yusril-pedemo-ditangkap-polisi-karena-lakukan-tindak-pidana-2073796,"Baca berita dengan sedikit iklan,  klik di sini  Menteri Koordinator Hukum, HAM, Imigrasi, dan Pemasyarakatan Yusril Ihza Mahendra angkat bicara soal penangkapan besar-besaran pasca rangkaian unjuk rasa pada akhir Agustus lalu. Operasi penangkapan tersebut diketahui juga menjerat para demonstran.   Baca berita dengan sedikit iklan,  klik di sini  Yusril mengatakan penangkapan terhadap para pedemo bukan tanpa alasan. ""Kalau ada yang demonstrasi dan ikut ditahan, itu karena mereka terlibat dalam tindak pidana,"" ujar Yusril dalam konferensi pers di kantornya pada Jumat, 26 September 2025.  Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  Menurut Yusril, para demonstran tersebut ditahan karena melakukan tindakan kriminal pada saat maupun pascaunjuk rasa. ""Antara lain melakukan kekerasan, melakukan penjarahan, melakukan penghasutan, melawan petugas, dan sebagainya,"" kata Yusril.  Yusril mengklaim tidak ada satu orang pun yang ditangkap hanya karena mengikuti unjuk rasa. Menurut dia, polisi tidak menangkap pedemo yang murni turun ke jalan untuk menyuarakan pendapat mereka.  Kepala Badan Reserse Kriminal Polri Komisaris Jenderal Syahardiantono sebelumnya mengungkapkan, hampir seribu orang ditetapkan sebagai tersangka dalam kasus kerusuhan saat demonstrasi akhir Agustus lalu. ""Total ada 959 tersangka, dengan rincian 664 dewasa dan 295 anak,"" ujar Syahardiantono dalam konferensi pers pada Rabu, 24 September 2025. Ratusan orang tersebut kasusnya ditangani di beberapa Kepolisian Daerah. Di Polda Metro Jaya misalnya ada 232 tersangka, 111 tersangka di Polda Jawa Barat, 136 tersangka di Polda Jawa Tengah, dan 58 tersangka di Polda Sulawesi Selatan.  Syahardiantono mengklaim, keseluruhan orang yang dijadikan tersangka oleh kepolisian merupakan pelaku kerusuhan. Dia memastikan tidak ada satupun tersangka yang merupakan peserta demonstrasi.  Polri sebelumnya memastikan ada 583 orang dari total 5.444 massa yang ditangkap dalam demonstrasi rusuh akhir Agustus 2025 masih menjalani proses hukum. Mereka tersebar di sejumlah kota besar seperti Jakarta, Bandung, Semarang, Surabaya, Makassar, dan Medan. Wakapolri Komisaris Jenderal Dedi Prasetyo mengatakan penyidik sedang memilah peran masing-masing. “Kami bedakan siapa auktor intelektual, penyandang dana, operator lapangan, maupun yang hanya ikut-ikutan,” ujar Dedi pada Senin, 8 September 2025. Pilihan Editor: Larangan Pelajar Berdemonstrasi Melanggar Konstitusi",yusril,demonstrasi,demonstran,penangkapan-aktivis,yusril-ihza-mahendra,tempo,Hukum & Kriminal
"Banjir Besar Landa Jabodetabek, Pimpinan MPR Ingatkan Mitigasi Bencana",4 Maret 2025,https://nasional.kompas.com/read/2025/03/04/22383061/banjir-besar-landa-jabodetabek-pimpinan-mpr-ingatkan-mitigasi-bencana," JAKARTA, KOMPAS.com - Wakil Ketua MPR RI Eddy Soeparno mengingatkan pentignya mitigasi dan kesiapan manajemen krisis yang baik sebelum terjadi bencana besar. Hal ini disampaikan Eddy merespons bencana yang membuat 117 RT di Jakarta dan 8 kecamatan di Bekasi terendam dengan kedalaman air yang bervariasi. ""Kita tidak bisa terus-menerus hanya merespons saat bencana sudah terjadi. Perlu ada langkah mitigasi dan kesiapan manajemen krisis yang lebih baik agar dampaknya bisa diminimalkan,"" ujar Eddy, Selasa (4/3/2025), dikutip dari siaran pers Politikus Partai Amanat Nasional ini mengatakan, bencana banjir ini merupakan bukti nyata dari krisis iklim yang semakin mengancam. Menurut dia, pola banjir yang terus berulang perlu dihadapi dengan strategi yang lebih sistematis dalam memitigasi dampak perubahan iklim. ""Ini bukan pertama kalinya kita menghadapi banjir besar. Pola ini terus berulang setiap tahun, dan kalau tidak ada kebijakan yang lebih serius, maka ke depannya situasi bisa semakin buruk,"" ujar Eddy. Eddy pun mengingatkan para kepala daerah yang terpilih melalui Pemilu 2024 harus memiliki kebijakan konkret dalam menangani krisis iklim dan bencana hidrometeorologi seperti banjir. ""Kepala daerah harus segera menyusun langkah strategis, mulai dari perbaikan tata kelola air, sistem drainase yang lebih baik, hingga kesiapan tanggap darurat yang lebih cepat dan efektif. Jangan hanya bertindak ketika bencana sudah terjadi,"" kata dia. Lebih lanjut, Eddy mengingatkan bahwa perubahan iklim bukan lagi ancaman masa depan, tetapi sudah menjadi kenyataan yang harus segera dihadapi. ""Krisis iklim ini nyata dan dampaknya semakin besar. Kita tidak bisa menunda lagi. Jika kebijakan yang tepat tidak segera diterapkan, masyarakat akan terus menjadi korban,"" ujar Eddy.",eddy soeparno,mitigasi bencana,banjir jabodetabek,krisis iklim,Banjir Jabodetabek hari ini,kompas,Lingkungan
"Lagu ""Indonesia Raya"" Kena Royalti? Istana Menjawab",15 Agustus 2025,https://nasional.kompas.com/read/2025/08/15/18222151/lagu-indonesia-raya-kena-royalti-istana-menjawab," JAKARTA, KOMPAS.com - Menteri Sekretaris Negara (Mensesneg) Prasetyo Hadi memberi penjelasan mengenai kabar pemutaran lagu 'Indonesia Raya' yang juga dikenakan royalti. Prasetyo menyatakan, akan mencari jalan keluar, mengingat lagu Indonesia Raya selalu dinyanyikan dalam setiap acara. ""Justru di situ harus kita cari jalan keluarnya. Indonesia Raya setiap dinyanyikan di tempat manapun, di event apapun, kemudian di situ ada kewajiban royalti kan tampaknya agak sulit juga,"" ujar Prasetyo, di Gedung DPR, Senayan, Jakarta, Jumat (15/8/2025). Namun, saat ditanya apakah itu artinya lagu Indonesia Raya tidak perlu dikenakan royalti, Prasetyo juga tidak membenarkan. ""Ya jangan langsung seperti begitu, lagi dicari rumusannya gitu,"" ucap dia. Pengenaan royalti kepada lagu Indonesia Raya ini dikemukakan oleh PSSI. Menurut Prasetyo, pihaknya akan berdiskusi intens dengan Kementerian Hukum yang membawahi LMKN. ""Kita cari jalan keluar terbaiknya lah, supaya apa yang tadi terjadi di PSSI tentunya harus kita cari jalan keluar. Nanti kalau semua diberlakukan kan akan menimbulkan kerepotan. Tapi, terus terang sedang kita cari jalan keluarnya,"" imbuh Prasetyo.",royalti,istana,Indonesia Raya,PSSI,Prasetyo Hadi,kompas,Politik
Remaja Ditindak Polisi di Serpong karena Bawa Mobil Berpelat Asing,29 April 2025,https://megapolitan.kompas.com/read/2025/04/29/19304221/remaja-ditindak-polisi-di-serpong-karena-bawa-mobil-berpelat-asing," TANGERANG SELATAN, KOMPAS.com - Seorang remaja pengemudi mobil Toyota Hilux ditindak petugas Satuan Lalu Lintas (Satlantas) Polres Tangerang Selatan setelah kedapatan menggunakan pelat nomor kendaraan asing. Penindakan dilakukan di Jalan Letnan Sutopo, Serpong, Tangerang Selatan pada Senin (28/4/2025) sore. Foto dan video penindakan terhadap remaja itu diunggah di akun Instagram @satlantaspolrestangsel. Dalam unggahan foto dan video itu, terlihat pelat mobil yang digunakan bertuliskan huruf Arab, menyerupai pelat dari Timur Tengah. Namun, dalam slide foto berikutnya, terungkap bahwa mobil tersebut sebetulnya memiliki pelat Indonesia dengan nomor D 8479 FJ, menunjukkan kendaraan pribadi dari wilayah Bandung, Jawa Barat. Kepala Bagian Operasional (KBO) Satlantas Polres Tangerang Selatan, Iptu Hery Sulistiono menjelaskan, penindakan dilakukan karena penggunaan pelat nomor tidak sesuai peruntukannya. “Anggota kami yang berpatroli menemukan suatu kendaraan yang menggunakan pelat tidak sesuai peruntukannya di wilayah Indonesia ini. Jadi memakai pelat asing. Diberhentikan, diminta surat-surat, dan pengemudi tidak bisa menunjukkan SIM,” kata Hery saat dikonfirmasi Kompas.com, Selasa (29/4/2025). Petugas kemudian menilang secara manual dan menyita STNK sebagai barang bukti, karena pengemudi tidak mampu menunjukkan Surat Izin Mengemudi (SIM) dan akan menjalani proses sidang. “Kita belum tahu motivasinya. Bisa jadi iseng, bisa juga gaya-gayaan. Tapi yang jelas, kendaraan itu memakai pelat bukan peruntukannya di negara Indonesia,” jelas Hery. Sebagai langkah preventif, Satlantas Polres Tangsel akan terus melakukan penindakan terhadap pelanggaran kasat mata, baik melalui sistem tilang elektronik (ETLE) maupun patroli manual. Dalam kasus ini, pengemudi juga terancam jeratan dua pasal sekaligus: tidak memiliki SIM dan pelanggaran penggunaan Tanda Nomor Kendaraan Bermotor (TNKB) yang tidak sesuai ketentuan. “Sanksinya sudah kami lakukan dengan tilang. Itu sebagai pelajaran,” ujar Hery.",polisi,remaja,Mobil berpelat asing,Remaja ditindak polisi,Gunakan mobil pelat asing,kompas,Hukum & Kriminal
